Number	Morph	Frequency
84	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	6
85	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	6
86	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	6
87	Verb+Reflex+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With	6
88	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	5
89	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	5
90	Noun+Prop+A3sg+Pnon+Nom+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	5
91	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	4
92	Noun+NoHats+A3sg+Pnon+Nom+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	4
93	Verb+Reflex+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	4
94	Verb+Verb+Caus+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	4
95	Verb+Verb+Pass+Pos+Adj+PresPart+Noun+A3sg+Pnon+Nom+Adj+With	4
96	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	3
97	Noun+NoHats+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	3
98	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	3
99	Verb+Verb+EverSince+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	3
100	Adj+NoHats+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2
101	Adj+Noun+Dim+A3sg+Pnon+Nom+Adj+With	2
102	Adj+Verb+Become+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2
103	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With	2
104	Verb+NoHats+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2
105	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2
106	Verb+Verb+Pass+Neg+Verb+Able+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2
107	Verb+Verb+Stay+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2
108	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	1
109	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With	1
110	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
111	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
112	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
113	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
114	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
115	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
116	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
117	Noun+Acro+Apos+A3sg+Pnon+Nom+Verb+Become+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
118	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	1
119	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Adj+With	1
120	Noun+NoHats+A3sg+Pnon+Nom+Verb+Acquire+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
121	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
122	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With	1
123	Noun+Prop+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
124	Verb+Neg+Verb+Able+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
125	Verb+NoHats+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
126	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With	1
127	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With	1
128	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
129	Verb+Recip+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
130	Verb+Reflex+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
131	Verb+Reflex+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
132	Verb+Verb+Caus+Pos+Adj+PresPart+Noun+A3sg+Pnon+Nom+Adj+With	1
133	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With	1
134	Verb+Verb+Caus+Verb+Caus+Verb+Able+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
135	Verb+Verb+Caus+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
136	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
137	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+With	1
138	Verb+Verb+Pass+Verb+Hastily+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
139	Verb+Verb+Pass+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1
140	Verb+Verb+Stay+Pos+Adj+PresPart+Noun+A3sg+Pnon+Nom+Adj+With	1
