Number	Morph	Frequency
148	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom	247
149	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Dat	227
150	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom	224
151	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Acc	216
152	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom	213
153	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Dat	209
154	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Past+A3sg	205
155	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	204
156	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3sg	197
157	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Gen	192
158	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc	192
159	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Gen	186
160	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	184
161	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Loc	182
162	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Abl	179
163	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Acc	178
164	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Past+A2sg	177
165	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Dat+Verb+Pres+A1sg	175
166	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Loc	175
167	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Ins	171
168	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A2sg	171
169	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Aor+A3sg	165
170	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Ins	164
171	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A1sg	164
172	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf1+A3sg+Pnon+Nom	163
173	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Ins	160
174	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Past+A3sg	158
175	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Nom	156
176	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Dat	154
177	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Abl	152
178	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Acc	152
179	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Pres+A1sg	149
180	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Gen	147
181	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc+Verb+Pres+Cop+A3sg	146
182	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Abl	145
183	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Adj+AsIf	143
184	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Loc	141
185	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	141
186	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Nom	140
187	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Gen	138
188	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Dat	137
189	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	137
190	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Past+A2pl	133
191	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1pl+Gen	132
192	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P2pl+Nom	132
193	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Ins	132
194	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc+Verb+Pres+A1pl	131
