Number	Morph	Frequency
123	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P1pl+Acc	665
124	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Apos+Loc	654
125	Adj+Noun+Ness+A3sg+P1pl+Dat	632
126	Adj+Noun+Ness+A3sg+P1sg+Dat	631
127	Adj+Noun+Ness+A3pl+P1pl+Acc	630
128	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Ins	630
129	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc	629
130	Adj+NoHats+Noun+Ness+A3pl+Pnon+Nom	618
131	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Dat	600
132	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	594
133	Adj+Noun+Ness+A3sg+P1sg+Abl	589
134	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Apos+Gen	554
135	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P1pl+Nom	552
136	Adj+Noun+Ness+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	547
137	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Nom	546
138	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	546
139	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	536
140	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	536
141	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Dat	522
142	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	497
143	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Gen	447
144	Adj+Noun+Ness+A3sg+P1sg+Gen	446
145	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	434
146	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Acc	426
147	Adj+Noun+Ness+A3pl+P3sg+Loc+Adj+Rel	424
148	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	421
149	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+Without	417
150	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Dat	415
151	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Apos+Acc	413
152	Adj+Noun+Ness+A3sg+P3sg+Nom+Verb+Past+A3sg	407
153	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Nom	404
154	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	393
155	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Loc+Verb+Pres+Cop+A3sg	392
156	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Nom	378
157	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Ins	367
158	Adj+NoHats+Noun+Ness+A3sg+Pnon+Dat	364
159	Adj+Noun+Ness+A3sg+P1pl+Abl	357
160	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Verb+Past+A3sg	355
161	Adj+Noun+Ness+A3sg+Pnon+Loc+Verb+Pres+Cop+A3sg	349
162	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Apos+Loc	345
163	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Abl	336
164	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3pl+Apos+Gen	333
165	Adj+NoHats+Noun+Ness+A3sg+Pnon+Abl	329
166	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Apos+Abl	329
167	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3pl+Apos+Loc	322
168	Adj+Noun+Ness+A3sg+P1sg+Loc	316
169	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	308
170	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Abl	307
171	Adj+Noun+Ness+A3pl+P2pl+Acc	305
172	Adj+Noun+Ness+A3sg+P3sg+Loc+Verb+Pres+Cop+A3sg	305
173	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	305
