Number	Morph	Frequency
91	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Apos+Acc	61
92	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Dat	59
93	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+Pnon+Gen	58
94	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Aor+A3sg	58
95	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Prog1+A3sg	58
96	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1sg+Acc	57
97	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Gen	56
98	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom+Verb+Past+A3sg	53
99	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Past+A3sg	52
100	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1pl+Nom	51
101	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1sg+Nom	51
102	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Abl	50
103	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+P3sg+Gen	50
104	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Able+Pos+Aor+A3sg	50
105	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom	50
106	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Gen	49
107	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	49
108	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Gen	48
109	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Abl	46
110	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Cond+A1sg	45
111	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	44
112	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+Cop+A3sg	43
113	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	41
114	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Cond+A2sg	40
115	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P1pl+Nom	39
116	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Gen	39
117	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+Pnon+Dat	37
118	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+Pnon+Ins	37
119	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom	37
120	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	36
121	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1pl+Gen	35
