Number	Morph	Frequency
100	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A1pl	693
101	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Gen	674
102	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P2sg+Nom	660
103	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Apos+Gen	649
104	Verb+Pos+Noun+Agt+A3pl+P1pl+Gen	649
105	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Abl	592
106	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+P3sg+Nom	580
107	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With	572
108	Verb+Pos+Noun+Agt+A3pl+P3sg+Ins	568
109	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A2pl	560
110	Verb+Pos+Noun+Agt+A3pl+Pnon+Loc	543
111	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	536
112	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A2sg	530
113	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Apos+Acc	529
114	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	503
115	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Ins	497
116	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Gen	494
117	Verb+Pos+Noun+Agt+A3pl+P1pl+Dat	488
118	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	475
119	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Acc	438
120	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	434
121	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	421
122	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom	408
